URL,Product Name,Brand Name,Price,Category,Image URL,Description
https://www.hamleys.in/product/kingdom-of-play-bakers-special-set-9-piece-multicolour-3y-492407809,Product name not found,Kingdom Of Play,1169,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/492407809/300/492407809-1.jpeg,Kitchen is supplied with 9 accessories to cook up A treat All the accessories and kitchen cleverly packs away into A compact carry case for storage an Tidy away play and role-play fun on the go!
https://www.hamleys.in/product/hamleys-mii-transparent-hover-ball-blue-silver-3y-492407946,Product name not found,Hamleys,599,Sports & Outdoor,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/492407946/300/492407946-1.jpeg,"Air Power Soccer Disk glides on a cushion of air! You can kick it like a real soccer ball, smack it with a real hockey stick or send it sailing like a bowling ball This Air Soccer Disk has a protective bumper so its safe to play inside. It wont ding up the furniture or walls and it wont scratch up the hardwood floors With coloured LED lights, making the game for fun. The Air Power Soccer Disk can be used indoors or out As long as you have a smooth surface youre good to go Play by yourself or grab a friend or two! The Air Power Soccer Disk will provide hours of dynamic high-tech soccer action"
https://www.hamleys.in/product/funskool-scavenger-hunt-plastic-multicolour-3y-491898713,Product name not found,Funskool,449,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/491898713/300/491898713-1.jpeg,"It's the classic game of search and find for kids! players have two minutes to search for silly stuff like a purple shirt, a funny hat and other items around the house  kids move ahead one space on the game board for every item they find and additional spaces for putting everything back where it belongs (so the house stays tidy)  the first player to move his or her pawn across the finish line wins."
https://www.hamleys.in/product/stamp-art-smiley-491692549,Shop Online Stamp Art - Smiley at Best Price,Imagimake,199,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/491692549/300/491692549.webp,"Stamp Art series has great art and craft kits for kids to explore the world of painting and colouring in a new way. This set includes 6 Stamps, 3 Stamp Pens and 2 Bookmark templates and 2 Greeting Card templates. The washable and reusable stamp set for kids keeps a child engaged for hours and hours of playtime as kids can keep on exploring different blending techniques and make different patterns each time. Start with the bookmarks and card making projects and then use the stamps to keep on creating. Kids can create endless designs and give different patterns and expression to adorable smiley designs. This kit for 3 year olds is a mess free play as the child does not have to use any paint which will make the floor or table messy like sponge painting. Just Colour, Stamp and Create more and more!"
https://www.hamleys.in/product/toytales-small-doll-house-an-accessories-multicolor-3y-492409574,Product name not found,Toytales,408,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/492409574/300/492409574-1.jpeg,"Dollhouse that encourages imaginative roleplay with friends. Fresh, bright and vibrant colors of this dollhouse makes it a perfect toy playset house"
https://www.hamleys.in/product/imagimake-junior-abacus-puzzles-for-kids-age-3y-491892931,Shop Online Imagimake Junior Abacus Puzzles for Kids age 3Y+,Imagimake,549,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/491892931/300/491892931-1.webp,"Junior Abacus is a Counting & Stacking Toy that not just teaches children counting from 1 to 10, but also helps them learn how to write these numbers as they can trace the digits while they play. This self-correcting puzzle also helps children learn number sequencing as 1 will only connect with 2, 2 with 3, and so on. It is a great play pattern to enhance the fine motor skills and problem solving skills of children while teaching them about shapes and colors as well. It also encourages children to speak while playing thus developing their Speech and Language skills. It uses 10 mm and 8 mm thick pieces of soft, sturdy and safe foam material that complies with European safety standards."
https://www.hamleys.in/product/hamleys-classic-sticky-dart-ball-game-classic-toy-multicolor-3y-492408120,Product name not found,Hamleys,999,Sports & Outdoor,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/492408120/300/492408120-1.jpeg,"Cultivate kids self-confidence and teamwork, Improve kids math skills and logical thinking, Develop kids intelligence and imagination, Enhance kids hand-eye coordination and concentration, Promote kids social skills and observation ability, Keep your kids away from electronic screens, Promote parent-child relationship, Help you get hours of fun and relaxation during a busy day."
https://www.hamleys.in/product/giggles-kitchen-set-for-kids-age-3y-490093178,Buy online Giggles Kitchen Set for Kids age 3Y+,Giggles,949,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/490093178/300/490093178.webp,"So what if Mom's the best cook in the world? Kids can do their own makebelieve cooking. With Funskool's sturdy, attractive, colourful and largesized cooking set. Product Features - A set which includes total kitchen cutlery; a toaster with a popup mechanism; a gas range with clicking control knobs. Cooking was never this fun."
https://www.hamleys.in/product/ramson-roll-ball-monkey-multicolor-3y-492407665,Product name not found,Ramson,599,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/492407665/300/492407665.jpeg,"A highly engaging sensory toy that is just right for your child! Pass the ball through the monkey's mouth and watch it roll down the circular disks and pass through any of the 3 exit paths  This makes a perfect exercise for tiny hands and fingers and develops hand-eye coordination along with fine motor skills  The multi-coloured character, balls and disks enhance tactical and visual stimulation."
https://www.hamleys.in/product/wonder-house-books-101-spot-the-differences-fun-activity-books-paperback-multicolor-3y-491634651,Product name not found,Wonder House Books,189,Books,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/491634651/300/491634651.jpeg,"Sharpen your eyes and immerself yourself into the world of subtle differences with this Spot the Difference book  In addition to being a great visual and memory exercise for kids of all ages
the contents of this book can keep kids occupied and entertained for hours
Complete solutions"
